Time[ms],#Mission,TargetDepth[m],PistonPosition[m],PIDoutput,Pressure[V],MeasuredDepth[m],Psi,Pascal,Battery[V],Temperature,MotionData
132407.00,1,1.500000,0.027509,0.030760,0.586457,1.589942,16.961427,116944.976562,23.003871,-195.914062,0.000000
133406.00,1,1.500000,0.027877,0.008235,0.588929,1.633392,17.023227,117371.070312,23.009731,-195.914062,0.000000
134405.00,1,1.500000,0.027066,0.013949,0.589204,1.638219,17.030094,117418.414062,23.056608,-197.914062,0.000000
135404.00,1,1.500000,0.025046,0.007465,0.594148,1.725123,17.153699,118270.640625,22.996547,-197.914062,0.000000
136403.00,1,1.500000,0.024093,0.019675,0.593599,1.715466,17.139965,118175.945312,23.074188,-199.914062,0.000000
137402.00,1,1.500000,0.022074,0.022211,0.594148,1.725123,17.153699,118270.640625,22.976038,-201.914062,0.000000
138401.00,1,1.500000,0.023124,0.013075,0.594423,1.729950,17.160566,118317.984375,23.040494,-201.914062,0.000000
139400.00,1,1.500000,0.021952,0.015609,0.594972,1.739607,17.174301,118412.687500,23.487298,-201.914062,0.000000
140399.00,1,1.500000,0.021118,0.000734,0.594972,1.739607,17.174301,118412.687500,23.050748,-203.914062,0.000000
141398.00,1,1.500000,0.020749,0.028548,0.593324,1.710639,17.133098,118128.601562,23.055143,-203.914062,0.000000
142397.00,1,1.500000,0.023190,0.026898,0.591401,1.676844,17.085031,117797.195312,23.044889,-205.914062,0.000000
143396.00,1,1.500000,0.025632,0.030606,0.590302,1.657531,17.057561,117607.796875,23.056608,-205.914062,0.000000
144395.00,1,1.500000,0.028073,0.038252,0.587830,1.614080,16.995759,117181.687500,23.043424,-205.914062,0.000000
145394.00,1,1.500000,0.029044,0.041775,0.587006,1.599597,16.975160,117039.656250,22.989221,-207.914062,0.000000
146393.00,1,1.500000,0.031062,0.031444,0.584809,1.560974,16.920225,116660.890625,23.028776,-207.914062,0.000000
147392.00,1,1.500000,0.032351,0.038526,0.583161,1.532007,16.879024,116376.820312,23.059539,-207.914062,0.000000
148391.00,1,1.500000,0.034793,0.030010,0.582612,1.522351,16.865291,116282.140625,23.053678,-207.914062,0.000000
149390.00,1,1.500000,0.034251,0.033747,0.581513,1.503040,16.837823,116092.757812,23.058073,-207.914062,0.000000
150389.00,1,1.500000,0.032834,0.014787,0.583161,1.532007,16.879024,116376.820312,22.973108,-209.914062,0.000000
151388.00,1,1.500000,0.032043,0.027229,0.582337,1.517524,16.858425,116234.796875,23.037565,-209.914062,0.000000
152387.00,1,1.500000,0.030024,0.022514,0.584809,1.560974,16.920225,116660.890625,22.971643,-209.914062,0.000000
153386.00,1,1.500000,0.027583,0.039715,0.585633,1.575458,16.940826,116802.929687,22.970178,-211.914062,0.000000
154385.00,1,1.500000,0.028115,0.023899,0.587006,1.599597,16.975160,117039.656250,22.992151,-211.914062,0.000000
155384.00,1,1.500000,0.027325,0.000000,0.588929,1.633392,17.023227,117371.070312,23.033170,-211.914062,0.000000
156383.00,1,1.500000,0.026968,0.016568,0.588929,1.633392,17.023227,117371.070312,23.036100,-211.914062,0.000000
157382.00,1,1.500000,0.026601,0.016351,0.589204,1.638219,17.030094,117418.414062,23.030241,-211.914062,0.000000
158381.00,1,1.500000,0.024582,0.027799,0.589753,1.647876,17.043828,117513.109375,22.946739,-213.914062,0.000000
159380.00,1,1.500000,0.024950,0.029959,0.590852,1.667189,17.071298,117702.507812,22.987756,-213.914062,0.000000
160379.00,1,1.500000,0.025307,0.020447,0.591676,1.681672,17.091897,117844.531250,22.999477,-215.914062,0.000000
161378.00,1,1.500000,0.022865,0.032468,0.591401,1.676844,17.085031,117797.195312,22.949668,-215.914062,0.000000
162378.00,1,1.500000,0.023222,0.023147,0.591951,1.686499,17.098764,117891.875000,22.986291,-215.914062,0.000000
163377.00,1,1.500000,0.023129,0.038909,0.590577,1.662361,17.064432,117655.164062,23.469720,-217.914062,0.000000
164376.00,1,1.500000,0.023781,0.032750,0.590852,1.667189,17.071298,117702.507812,22.976038,-217.914062,0.000000
165375.00,1,1.500000,0.025801,0.037817,0.587830,1.614080,16.995759,117181.687500,23.002407,-217.914062,0.000000
166374.00,1,1.500000,0.026581,0.019415,0.588654,1.628564,17.016361,117323.726562,22.973108,-219.914062,0.000000
167373.00,1,1.500000,0.025618,0.020168,0.587556,1.609252,16.988893,117134.343750,23.037565,-219.914062,0.000000
168372.00,1,1.500000,0.025261,0.023113,0.587556,1.609252,16.988893,117134.343750,23.031705,-221.914062,0.000000
169371.00,1,1.500000,0.024892,0.046764,0.583436,1.536834,16.885890,116424.164062,23.030241,-221.914062,0.000000
170370.00,1,1.500000,0.027333,0.038438,0.582612,1.522351,16.865291,116282.140625,23.027311,-221.914062,0.000000
171369.00,1,1.500000,0.029775,0.033472,0.581238,1.498211,16.830955,116045.398437,23.027311,-223.914062,0.000000
172368.00,1,1.500000,0.032217,0.037601,0.579590,1.469244,16.789754,115761.328125,23.005336,-223.914062,0.000000
173367.00,1,1.500000,0.034658,0.032063,0.579041,1.459587,16.776020,115666.632812,23.014125,-223.914062,0.000000
174366.00,1,1.500000,0.034301,0.014470,0.578766,1.454760,16.769153,115619.289062,23.018520,-223.914062,0.000000
175365.00,1,1.500000,0.032298,0.025956,0.579316,1.464416,16.782888,115713.984375,22.974573,-223.914062,0.000000
176364.00,1,1.500000,0.031416,0.035057,0.579041,1.459587,16.776020,115666.632812,23.024379,-225.914062,0.000000
177363.00,1,1.500000,0.032207,0.031128,0.580414,1.483728,16.810356,115903.375000,22.984827,-225.914062,0.000000
178362.00,1,1.500000,0.030215,0.038281,0.582886,1.527179,16.872158,116329.476562,22.962852,-225.914062,0.000000
179361.00,2,1.000000,0.032235,0.014742,0.582612,1.522351,16.865291,116282.140625,23.017055,-225.914062,0.000000
180351.00,2,1.000000,0.030239,0.000000,0.585358,1.570630,16.933959,116755.585937,22.942344,-227.914062,0.000000
181350.00,2,1.000000,0.027798,0.006699,0.586457,1.589942,16.961427,116944.976562,22.923299,-229.914062,0.000000
182349.00,2,1.000000,0.025356,0.000000,0.588654,1.628564,17.016361,117323.726562,22.929159,-229.914062,0.000000
183348.00,2,1.000000,0.022914,0.000000,0.590302,1.657531,17.057561,117607.796875,22.927694,-229.914062,0.000000
184347.00,2,1.000000,0.020473,0.005810,0.591401,1.676844,17.085031,117797.195312,22.937950,-231.914062,0.000000
185346.00,2,1.000000,0.018031,0.000000,0.593049,1.705811,17.126232,118081.257812,22.948204,-233.914062,0.000000
186345.00,2,1.000000,0.015590,0.013855,0.592225,1.691327,17.105630,117939.218750,22.932088,-231.914062,0.000000
187344.00,2,1.000000,0.013148,0.017072,0.591676,1.681672,17.091897,117844.531250,22.946739,-233.914062,0.000000
188343.00,2,1.000000,0.015167,0.006821,0.589204,1.638219,17.030094,117418.414062,23.005336,-233.914062,0.000000
189342.00,2,1.000000,0.014856,0.017921,0.585908,1.580285,16.947692,116850.273437,23.006801,-235.914062,0.000000
190341.00,2,1.000000,0.017297,0.010461,0.583710,1.541662,16.892757,116471.507812,23.005336,-235.914062,0.000000
191340.00,2,1.000000,0.016986,0.031643,0.578766,1.454760,16.769153,115619.289062,22.995080,-235.914062,0.000000
192339.00,2,1.000000,0.019428,0.037039,0.575195,1.391997,16.679883,115003.796875,22.987756,-235.914062,0.000000
193338.00,2,1.000000,0.021869,0.013371,0.570801,1.314751,16.570014,114246.273437,22.993616,-235.914062,0.000000
194337.00,2,1.000000,0.021394,0.047625,0.564208,1.198882,16.405210,113109.992187,22.995080,-235.914062,0.000000
195336.00,2,1.000000,0.023836,0.055000,0.558990,1.107153,16.274740,112210.429687,22.980432,-237.914062,0.000000
196335.00,2,1.000000,0.026277,0.042484,0.554595,1.029906,16.164869,111452.890625,22.971643,-237.914062,0.000000
197334.00,2,1.000000,0.028719,0.042421,0.550475,0.957488,16.061866,110742.718750,22.962852,-237.914062,0.000000
198333.00,2,1.000000,0.031161,0.049080,0.545256,0.865758,15.931397,109843.156250,22.961387,-239.914062,0.000000
199332.00,2,1.000000,0.033602,0.048661,0.541685,0.802994,15.842126,109227.656250,22.954063,-239.914062,0.000000
200331.00,2,1.000000,0.036044,0.047091,0.539762,0.769199,15.794058,108896.234375,22.955528,-239.914062,0.000000
201331.00,2,1.000000,0.038486,0.052623,0.536192,0.706436,15.704789,108280.742187,22.951133,-239.914062,0.000000
202330.00,2,1.000000,0.040927,0.028952,0.536192,0.706436,15.704789,108280.742187,22.974573,-243.914062,0.000000
203329.00,2,1.000000,0.040615,0.041262,0.535642,0.696781,15.691056,108186.062500,22.981897,-241.914062,0.000000
204328.00,2,1.000000,0.040324,0.053185,0.535642,0.696781,15.691056,108186.062500,22.973108,-241.914062,0.000000
205327.00,2,1.000000,0.040624,0.024609,0.538389,0.745061,15.759725,108659.515625,22.971643,-243.914062,0.000000
206326.00,2,1.000000,0.038183,0.022915,0.540861,0.788511,15.821526,109085.625000,22.933555,-243.914062,0.000000
207325.00,2,1.000000,0.035741,0.011345,0.544706,0.856101,15.917662,109748.453125,22.935020,-245.914062,0.000000
208324.00,2,1.000000,0.033300,0.030390,0.547179,0.899553,15.979465,110174.570312,22.920370,-245.914062,0.000000
209323.00,2,1.000000,0.030858,0.005574,0.552947,1.000939,16.123668,111168.828125,22.915975,-247.914062,0.000000
210322.00,2,1.000000,0.028417,0.000000,0.557616,1.083012,16.240404,111973.687500,22.917440,-247.914062,0.000000
211321.00,2,1.000000,0.025975,0.000000,0.560912,1.140947,16.322807,112541.835937,22.915975,-247.914062,0.000000
212320.00,2,1.000000,0.023533,0.006874,0.563659,1.189226,16.391475,113015.289062,22.923299,-249.914062,0.000000
213319.00,2,1.000000,0.021092,0.004899,0.566406,1.237504,16.460144,113488.742187,22.918905,-249.914062,0.000000
214318.00,2,1.000000,0.018650,0.000000,0.569153,1.285784,16.528814,113962.210937,22.924764,-249.914062,0.000000
215317.00,2,1.000000,0.016208,0.010400,0.571075,1.319579,16.576881,114293.617187,22.930624,-251.914062,0.000000
216316.00,2,1.000000,0.015483,0.001247,0.571350,1.324407,16.583747,114340.960937,22.962852,-251.914062,0.000000
217315.00,2,1.000000,0.014983,0.016015,0.571350,1.324407,16.583747,114340.960937,22.962852,-251.914062,0.000000
218314.00,2,1.000000,0.015074,0.037683,0.569977,1.300267,16.549413,114104.234375,22.935020,-251.914062,0.000000
219313.00,2,1.000000,0.017093,0.029888,0.568329,1.271300,16.508213,113820.164062,22.989221,-251.914062,0.000000
220312.00,2,1.000000,0.019535,0.031579,0.565856,1.227849,16.446411,113394.054687,22.973108,-251.914062,0.000000
221311.00,2,1.000000,0.021976,0.033086,0.563659,1.189226,16.391475,113015.289062,22.970178,-251.914062,0.000000
222310.00,2,1.000000,0.024418,0.044272,0.560363,1.131292,16.309074,112447.156250,22.961387,-253.914062,0.000000
223309.00,2,1.000000,0.026859,0.055000,0.556243,1.058873,16.206069,111736.960937,22.954063,-251.914062,0.000000
224308.00,2,1.000000,0.029301,0.031478,0.553221,1.005766,16.130535,111216.171875,22.927694,-251.914062,0.000000
225307.00,2,1.000000,0.031742,0.026516,0.551848,0.981627,16.096200,110979.445312,22.936485,-253.914062,0.000000
226305.00,2,1.000000,0.031269,0.040129,0.549376,0.938176,16.034399,110553.335937,22.967248,-251.914062,0.000000
227304.00,2,1.000000,0.033710,0.035178,0.548003,0.914037,16.000064,110316.609375,22.965784,-253.914062,0.000000
228303.00,2,1.000000,0.036145,0.043455,0.544706,0.856101,15.917662,109748.453125,22.940879,-253.914062,0.000000
